code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603722,N阿科力,化工原料,江苏,25.92,0.22,0.87,46842.09,14853.99,11813.88,5405.39,0.62,0.469,4.57,3.54,20171025,16452.42,1.9,0.0,0.0,31.51,19.23,24007.0
603607,N京华,造纸,浙江,24.62,0.23,0.91,48319.84,33422.23,9072.82,15172.75,1.67,0.469,4.91,4.7,20171025,11193.1,1.23,0.0,0.0,34.21,16.45,25174.0
603335,迪生力,汽车配件,广东,59.55,0.63,2.53,88345.5,66109.8,10814.57,19326.32,0.76,0.16,2.27,6.24,20170620,10486.15,0.41,0.0,0.0,35.33,6.83,60749.0
600526,菲达环保,环境保护,浙江,94.65,4.07,5.47,906394.0,700389.31,79301.81,170118.92,3.11,0.065,4.7,2.64,20020722,28721.55,0.52,14.04,49.23,17.11,1.97,70282.0
002211,宏达新材,橡胶,江苏,127.01,4.32,4.32,108847.26,79848.25,17753.32,103788.3,2.4,0.035,1.83,4.87,20080201,-70912.65,-1.64,54.78,356.85,12.2,3.43,54850.0
300517,海波重科,建筑施工,湖北,106.51,0.41,1.02,95897.36,71659.53,8362.78,26467.35,2.58,0.125,5.81,4.57,20160719,19899.25,1.94,-18.6,-33.37,24.37,9.65,15835.0
603466,风语筑,文教休闲,上海,23.22,0.36,1.44,193517.22,163840.27,21432.76,34495.55,2.4,1.025,6.68,4.75,20171020,25636.81,1.78,0.0,0.0,29.47,12.19,37538.0
603499,翔港科技,广告包装,上海,53.37,0.25,1.0,46501.03,18143.78,20363.8,11031.2,1.1,0.364,3.93,6.6,20171016,9835.62,0.98,0.0,0.0,26.37,15.1,27897.0
002907,华森制药,化学制药,重庆,28.08,0.4,4.0,70735.78,40050.03,13501.01,36.72,0.0,0.23199999999999998,1.54,5.64,20171020,17636.82,0.44,0.0,0.0,67.17,21.04,78250.0
603683,晶华新材,化工原料,上海,48.78,0.32,1.27,83351.17,40270.8,16154.09,13909.86,1.1,0.184,5.21,3.44,20171020,24816.97,1.96,0.0,0.0,24.16,6.92,32784.0
002846,英联股份,广告包装,广东,89.68,0.3,1.2,60893.21,36661.15,15661.5,24976.35,2.08,0.21,4.41,8.21,20170207,13966.45,1.16,32.19,0.25,25.27,12.91,23876.0
603829,洛凯股份,电气设备,江苏,65.55,0.4,1.6,58965.61,36922.48,12546.13,12584.96,0.79,0.141,2.71,6.82,20171017,6931.85,0.43,0.0,0.0,21.8,10.07,39079.0
002843,泰嘉股份,钢加工,湖南,71.61,0.35,1.4,64973.61,38417.9,20357.85,17526.09,1.25,0.3,4.27,6.45,20170120,24281.88,1.73,25.81,40.85,41.69,17.43,19317.0
300710,万隆光电,通信设备,浙江,39.89,0.18,0.69,45016.82,40681.98,2703.29,11356.53,1.66,0.39,6.3,4.94,20171019,14046.3,2.05,0.0,0.0,32.23,12.6,35018.0
603926,铁流股份,汽车配件,浙江,37.34,0.3,1.2,136102.73,103356.15,10878.82,57134.51,4.76,0.57,9.25,3.61,20170510,35785.43,2.98,0.0,0.0,32.83,13.31,19354.0
300617,安靠智电,电气设备,江苏,57.25,0.17,0.67,93745.2,69985.78,19033.25,43647.55,6.55,0.64,11.58,5.81,20170228,23958.18,3.59,0.0,0.0,51.59,26.4,16069.0
601108,财通证券,证券,浙江,40.12,3.59,35.89,4966410.5,0.0,7868.71,466297.5,1.3,0.337,5.03,3.58,20171024,528287.19,1.47,0.0,0.0,0.0,38.73,293571.0
300709,精研科技,元器件,江苏,46.78,0.22,0.88,86042.31,38632.57,35997.4,11419.26,1.3,0.872,6.5,12.55,20171019,22303.42,2.53,0.0,0.0,41.12,18.5,45647.0
603305,旭升股份,汽车配件,浙江,104.71,0.42,4.01,86628.21,32402.9,34200.23,0.0,0.0,0.276,1.7,34.04,20170710,20897.92,0.52,0.0,0.0,46.83,31.51,40304.0
603040,新坐标,机械基件,浙江,53.49,0.15,0.61,62574.25,43566.53,14319.82,27018.01,4.42,1.3,9.61,8.92,20170209,23133.7,3.79,88.18,120.1,63.49,38.85,5070.0
603896,寿仙谷,中成药,浙江,100.78,0.35,1.4,88696.15,45539.12,13309.59,46435.25,3.32,0.37,5.87,10.07,20170510,18727.9,1.34,0.0,0.0,86.03,24.52,20794.0
300707,威唐工业,专用机械,江苏,53.88,0.2,0.79,46947.69,30445.6,12146.75,11257.08,1.43,0.55,4.86,12.2,20171010,10116.37,1.29,0.0,0.0,45.69,21.78,39302.0
603922,金鸿顺,汽车配件,江苏,36.2,0.32,1.28,120578.51,72537.32,25763.11,23127.74,1.81,0.42200000000000004,5.84,5.23,20171023,21104.43,1.65,0.0,0.0,24.44,10.89,34005.0
000418,小天鹅Ａ,家用电器,江苏,23.3,4.39,6.32,1865528.75,1700525.75,97808.36,121497.15,1.92,1.157,9.86,5.46,19970328,401369.25,6.35,32.35,25.95,25.61,6.92,20964.0
601086,国芳集团,百货,甘肃,59.18,1.6,6.66,226362.3,52625.23,102258.55,2068.82,0.03,0.11199999999999999,2.54,5.2,20170929,38976.73,0.59,0.0,0.0,17.93,5.1,136049.0
300678,中科信息,软件服务,四川,310.74,0.25,1.0,48932.25,35506.03,2012.85,12581.76,1.26,0.16,4.49,16.94,20170728,11183.57,1.12,0.0,0.0,37.67,14.78,51310.0
300649,杭州园林,建筑施工,浙江,294.77,0.32,1.28,32914.53,14475.92,1172.79,6668.86,0.52,0.29,2.33,24.54,20170505,8485.49,0.66,0.0,0.0,56.68,19.6,20014.0
300545,联得装备,专用机械,深圳,110.01,0.23,0.72,74833.52,71463.42,1359.7,24777.77,3.44,0.366,6.99,11.51,20160928,16365.35,2.27,82.0,66.44,34.01,12.67,7833.0
300706,阿石创,元器件,福建,118.31,0.2,0.78,34582.65,19940.85,12220.4,8792.44,1.12,0.27899999999999997,3.82,17.28,20170926,7229.74,0.92,0.0,0.0,36.71,19.64,39206.0
300700,岱勒新材,矿物制品,湖南,77.43,0.21,0.82,51967.75,28944.75,19854.78,7322.85,0.89,0.44799999999999995,4.41,15.76,20170912,12684.92,1.54,0.0,0.0,45.8,22.61,42839.0
300176,鸿特精密,汽车配件,广东,152.61,1.07,1.07,193537.8,88257.02,89860.25,31930.75,2.98,0.428,6.17,21.18,20110215,20872.23,1.95,27.13,79.04,33.52,5.14,4075.0
603110,东方材料,染料涂料,浙江,94.95,0.26,1.03,45476.92,28063.47,11297.28,1820.18,0.18,0.212,3.96,10.17,20171013,19618.4,1.91,0.0,0.0,36.42,11.98,28303.0
603533,掌阅科技,互联网,北京,105.1,0.41,4.01,111833.47,103410.0,1389.7,27718.93,0.69,0.17,2.22,16.08,20170921,15016.5,0.37,0.0,0.0,30.75,8.58,42125.0
002908,德生科技,元器件,广东,38.33,0.33,1.33,52750.28,49433.9,2143.8,18700.18,1.4,0.284,3.9,3.73,20171020,8933.8,0.67,0.0,0.0,44.71,14.67,65991.0
300535,达威股份,化工原料,四川,54.0,0.32,0.6,68833.78,48083.65,13268.55,31402.7,5.26,0.435,10.67,4.41,20160812,23410.77,3.92,13.68,5.33,49.48,17.23,12264.0
603396,金辰股份,专用机械,辽宁,47.8,0.19,0.76,88918.38,71328.06,9083.67,14534.5,1.92,0.47200000000000003,8.04,5.62,20171018,22699.0,3.0,0.0,0.0,41.23,12.28,18847.0
300708,聚灿光电,半导体,江苏,16.49,0.64,2.57,113054.97,53496.63,47045.95,17322.55,0.67,0.361,2.85,2.78,20171016,17465.65,0.68,0.0,0.0,30.06,19.53,121621.0
300425,环能科技,环境保护,四川,63.23,1.49,3.75,232721.05,117594.35,30720.7,76995.8,2.05,0.1,3.77,3.36,20150216,28303.85,0.75,43.13,11.81,41.99,11.12,15238.0
600278,东方创业,商贸代理,上海,49.79,5.22,5.22,807521.44,480361.56,86535.52,96223.0,1.84,0.153,7.55,2.01,20000712,116497.27,2.23,10.37,7.83,5.75,1.08,30332.0
002902,铭普光磁,元器件,广东,105.29,0.35,1.4,169639.02,141088.0,23606.99,52338.06,3.74,0.55,7.3,7.95,20170929,32389.41,2.31,0.0,0.0,17.38,5.2,69018.0
000725,京东方Ａ,元器件,北京,23.13,338.6,347.98,22547248.0,9054556.0,7889883.0,3922923.5,1.13,0.124,2.33,2.46,20010112,726708.25,0.21,68.65,933.08,27.73,9.65,1016963.0
300650,太龙照明,电气设备,福建,110.86,0.16,0.63,58376.07,46154.65,8060.7,21584.25,3.42,0.25,6.82,6.87,20170503,13776.24,2.18,0.0,0.0,39.61,10.93,9534.0
600267,海正药业,化学制药,浙江,518.02,9.66,9.66,2137667.0,728164.13,629909.06,364976.28,3.78,0.013999999999999999,6.96,2.08,20000725,177382.88,1.84,16.4,-33.61,28.04,0.25,32246.0
603806,福斯特,塑料,浙江,30.69,4.02,4.02,546969.75,438713.66,73339.75,151180.56,3.76,0.92,11.97,3.15,20140905,268243.78,6.67,15.35,-39.58,21.85,10.88,16444.0
603787,新日股份,摩托车,江苏,50.5,0.51,2.04,170073.45,129387.65,27103.71,22169.0,1.09,0.22,4.13,4.41,20170427,37221.1,1.82,0.0,0.0,15.72,3.09,26886.0
603197,保隆科技,汽车配件,上海,40.38,0.29,1.17,255225.52,198117.02,41214.64,68867.17,5.88,1.02,11.02,5.9,20170519,45491.84,3.88,0.0,0.0,36.31,9.61,16864.0
002245,澳洋顺昌,仓储物流,江苏,32.09,9.09,9.87,555060.63,281372.53,116210.36,25718.84,0.26,0.15,2.17,4.45,20080605,81551.65,0.83,112.98,66.46,23.23,9.95,79314.0
300619,金银河,专用机械,广东,101.26,0.19,0.75,73862.92,59660.41,6106.46,18658.75,2.5,0.31,5.21,11.17,20170301,10979.19,1.47,0.0,0.0,34.09,12.42,14668.0
002451,摩恩电气,电气设备,上海,260.24,4.14,4.39,170124.36,65442.94,36539.43,6840.18,0.16,0.092,1.44,22.07,20100720,11353.03,0.26,-19.27,524.2,37.62,12.55,10609.0
600822,上海物贸,商贸代理,上海,312.02,3.96,4.96,210041.16,138721.5,37219.73,168081.22,3.39,0.025,1.09,14.26,19940204,-180767.5,-3.64,-77.22,541.21,5.42,0.4,50010.0
002510,天汽模,汽车配件,天津,66.65,7.14,8.96,462003.06,294097.09,76289.11,58136.15,0.65,0.095,2.64,3.2,20101125,81860.06,0.91,-6.84,-16.98,22.06,7.02,76082.0
000661,长春高新,生物制药,吉林,51.48,1.7,1.7,670559.25,485270.0,72375.4,196695.91,11.56,1.67,23.79,7.22,19961218,157006.19,9.23,25.44,32.25,87.25,17.75,14329.0
300234,开尔新材,陶瓷,浙江,3212.61,1.5,2.9,117618.7,76628.34,22142.25,41463.17,1.43,0.002,3.46,3.95,20110622,26209.92,0.91,-11.02,-95.98,35.58,0.47,20488.0
300237,美晨科技,建筑施工,山东,28.93,6.47,8.07,672750.63,478170.19,34142.73,93887.9,1.16,0.293,3.51,4.84,20110629,103945.03,1.29,46.56,53.3,34.14,15.84,12670.0
002396,星网锐捷,通信设备,福建,130.84,5.34,5.83,522849.31,389067.66,44094.05,84638.15,1.45,0.1,5.34,4.35,20100623,135215.25,2.32,27.24,34.51,36.39,2.17,31304.0
300582,英飞特,半导体,浙江,99.48,0.5,2.03,130259.17,39506.17,57313.48,49719.59,2.45,0.12,4.65,5.04,20161228,20294.92,1.0,14.32,-35.69,33.29,7.05,22330.0
300088,长信科技,元器件,安徽,38.25,22.57,22.99,721439.94,285386.53,218453.97,137423.36,0.6,0.13,1.78,5.59,20100526,143692.48,0.63,122.77,119.42,8.24,4.49,58016.0
603496,恒为科技,电脑设备,上海,62.32,0.25,1.0,71971.65,65082.73,6012.01,36088.59,3.61,0.45,6.14,6.88,20170607,14055.45,1.41,0.0,0.0,57.31,23.72,15932.0
603833,欧派家居,家居用品,广东,61.82,0.42,4.21,856529.19,432007.44,156403.95,290630.72,6.91,1.05,13.49,9.02,20170328,214757.92,5.11,0.0,0.0,34.12,10.69,15737.0
603331,百达精工,专用机械,浙江,43.04,0.32,1.27,104908.25,70121.77,27861.55,31593.4,2.48,0.38,5.12,4.75,20170705,18573.03,1.46,0.0,0.0,28.16,10.35,32510.0
603387,基蛋生物,生物制药,江苏,43.9,0.33,1.32,44596.9,25622.84,12894.42,5986.66,0.45,0.91,3.73,15.96,20170717,18522.71,1.4,0.0,0.0,83.54,42.46,34564.0
