,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,0.321,9.39,9.3,9.42,9.21,9.36,2046340.0,0.8881700000000001,19137530.0,32.379,3.243,540864.0,216345.6
1,603998,方盛制药,0.0,13.68,13.9,14.0,13.59,13.68,1365740.0,0.50738,18832658.0,85.5,5.898,589521.09096,368234.43696
2,603997,继峰股份,1.533,13.25,13.03,13.29,12.91,13.05,2527321.0,1.47797,33229341.0,22.458,5.062,834750.0,226575.0
3,603996,中新科技,-0.112,17.84,17.56,18.08,17.45,17.86,4391944.0,4.25267,77855069.0,45.744,0.0,535467.6,184242.6
4,603993,洛阳钼业,4.519,7.17,6.83,7.22,6.81,6.86,158483708.0,1.22346,1121964594.0,119.5,0.0,15486655.498011,9287824.911183
5,603991,至正股份,1.589,34.52,33.97,34.58,33.88,33.98,566123.0,3.0274,19436908.0,51.522,5.797,257294.813096,64552.4
6,603990,麦迪科技,0.962,37.8,37.48,38.19,36.76,37.44,533500.0,2.6675,19967567.0,50.4,7.457,305912.754,75600.0
7,603989,艾华集团,-0.079,37.82,37.85,38.14,37.28,37.85,1268140.0,1.50298,47689234.0,42.977,0.0,1134600.0,319106.25
8,603988,中电电机,0.577,71.41,70.96,71.43,70.35,71.0,396033.0,1.768,28191136.0,238.033,0.0,571280.0,159958.4
9,603987,康德莱,0.126,15.94,15.66,16.13,15.58,15.92,5653805.0,7.16579,89621805.0,25.71,0.0,502803.39,125766.6
10,603986,兆易创新,9.742,163.12,155.99,163.5,153.1,148.64,7665660.0,5.20251,1223967833.0,77.049,20.619,3306344.430128,2403497.3492
11,603985,恒润股份,1.331,43.4,42.5,43.45,42.1,42.83,1331030.0,6.65515,57349973.0,27.493,0.0,347200.0,86800.0
12,603980,吉华集团,1.015,22.9,22.55,22.99,22.55,22.67,2545420.0,2.54542,58184416.0,23.954,2.9530000000000003,1145000.0,229000.0
13,603979,金诚信,1.105,11.89,11.78,11.9,11.51,11.76,2146795.0,0.88287,25345115.0,28.31,1.83,695565.0,289117.62048
14,603978,深圳新星,4.258,95.01,92.28,97.37,89.51,91.13,3306310.0,16.53155,312514884.0,42.991,5.862,760080.0,190020.0
15,603977,国泰集团,0.0,16.79,0.0,0.0,0.0,16.79,0.0,0.0,0.0,28.458,3.964,371193.32,92815.12
16,603976,正川股份,1.419,32.16,31.99,32.36,31.74,31.71,1418327.0,5.25306,45460908.0,36.966,0.0,347328.0,86832.0
17,603969,银龙股份,0.191,15.75,15.73,15.91,15.6,15.72,2889911.0,1.8934000000000002,45498804.0,43.75,3.938,630000.0,240393.0375
18,603968,醋化股份,0.842,21.57,21.15,21.7,21.15,21.39,2143102.0,1.5688900000000001,46023113.0,29.958,3.431,441063.36,294646.2
19,603966,法兰泰克,1.732,22.91,22.65,22.93,21.6,22.52,4618963.0,11.54741,103057215.0,48.745,4.578,366560.0,91640.0
20,603963,大理药业,1.751,34.28,33.5,34.5,33.5,33.69,2309347.0,9.23739,78857975.0,41.301,0.0,342800.0,85700.0
21,603960,克来机电,0.0,32.55,0.0,0.0,0.0,32.55,0.0,0.0,0.0,54.25,8.141,338520.0,84630.0
22,603959,百利科技,1.788,34.73,34.0,34.88,33.05,34.12,1759823.0,1.6539700000000002,60349827.0,65.528,0.0,777952.0,369527.2
23,603958,哈森股份,0.707,18.52,18.37,18.59,18.31,18.39,1516400.0,2.29761,27980144.0,43.783,3.547,402550.72,122230.140592
24,603955,大千生态,4.943,53.71,50.9,53.98,50.8,51.18,3199735.0,14.71143,168340081.0,50.309,4.504,467277.0,116819.25
25,603939,益丰药房,2.258,42.12,41.5,42.5,40.78,41.19,1449184.0,0.7293200000000001,60628787.0,63.529,4.97,1527669.899496,836935.595496
26,603938,三孚股份,4.89,30.89,29.55,30.94,29.12,29.45,3997789.0,10.6447,119831178.0,42.903,0.0,463864.6274,116012.3374
27,603936,博敏电子,0.0,28.85,0.0,0.0,0.0,28.85,0.0,0.0,0.0,90.439,4.923,482804.75,161848.5
28,603933,睿能科技,7.809,61.85,57.0,63.11,56.97,57.37,5987232.0,23.32385,364481797.0,50.977,6.591,635013.95,158768.95
29,603929,亚翔集成,2.436,29.43,28.62,29.5,28.31,28.73,2869851.0,5.37828,83135838.0,28.573,6.572,627918.48,157038.48
30,603928,兴业股份,2.438,17.65,17.1,17.72,17.1,17.23,1191396.0,2.36388,20815135.0,25.956,3.2560000000000002,355824.0,88956.0
31,603926,铁流股份,8.044,34.25,31.68,34.87,31.68,31.7,11156582.0,37.18861,382822876.0,27.621,0.0,411000.0,102750.0
32,603922,金鸿顺,2.703,41.79,40.7,43.7,40.0,40.69,18388534.0,57.46417,773799223.0,37.649,0.0,534912.0,133728.0
33,603920,世运电路,1.951,19.86,19.5,19.95,19.5,19.48,2153006.0,2.42456,42559413.0,23.365,3.433,797974.8,176356.8
34,603919,金徽酒,0.852,20.12,19.9,20.18,19.9,19.95,1639719.0,1.4155200000000001,32845862.0,23.671,4.182,732368.0,233066.9614
